portfolio_id,date,portfolio_value,return_percentage,benchmark_return,net_inflows,net_outflows
6750,2023-12-29,470865.73,-7.11,-7.55,4341.4,11680.74
2696,2023-10-24,87414.18,14.1,12.94,8059.07,14325.75
8313,2023-02-15,330958.45,-8.94,-7.29,5111.72,7935.1
9116,2023-01-29,150925.82,11.48,10.04,5380.29,12021.19
3258,2024-06-04,144938.82,2.75,2.8,11127.75,11105.97
5933,2023-06-23,58575.98,8.95,9.25,12734.23,5697.94
3900,2023-10-17,453917.89,8.22,9.52,6718.49,14352.56
8616,2023-12-19,278542.77,-9.73,-10.59,3506.8,2858.48
3778,2023-03-23,90006.92,1.49,1.3,7870.94,7490.99
5933,2023-05-08,132098.22,4.92,5.04,9650.75,9789.51
9834,2022-11-30,15670.8,0.63,0.61,3714.45,2159.43
7581,2022-09-28,489882.08,9.54,7.97,1377.04,2562.43
5559,2023-03-31,198839.8,15.14,13.9,18700.86,4620.14
1787,2023-12-30,389613.67,-9.92,-10.16,8562.82,19849.23
5110,2024-01-08,25559.06,8.11,8.51,11064.07,9947.73
4007,2024-07-30,456519.69,19.28,20.83,14638.27,19045.87
9730,2023-10-08,483768.04,3.46,3.34,3265.18,11392.13
1932,2023-06-14,222944.49,3.49,3.86,8439.6,3074.8
8280,2023-01-18,75699.94,7.63,8.79,5826.87,7792.83
2720,2023-03-28,309215.5,-5.76,-6.42,18516.9,12456.47
7172,2024-09-05,236474.55,2.47,2.2,1591.49,3549.97
8625,2024-06-14,133614.05,17.49,19.24,3775.82,2923.66
8550,2024-08-18,83792.67,1.32,1.06,9966.41,16857.08
5044,2024-05-06,76667.89,4.8,4.26,9991.39,9870.55
7159,2024-07-13,129871.89,11.6,9.98,17155.25,16620.33
8994,2024-06-02,219961.22,12.93,11.77,10316.2,12360.51
4948,2023-06-08,67533.17,-3.72,-4.44,10565.45,14729.96
7983,2024-01-05,342686.51,-6.85,-5.71,10356.96,12157.08
7948,2023-05-01,368649.21,0.1,0.09,9456.4,2357.0
9983,2022-12-25,254107.27,-1.88,-2.1,15759.97,2838.51
8156,2022-10-11,245945.07,10.62,9.77,3417.38,16153.41
3302,2024-09-13,118531.93,-2.3,-2.52,187.15,4615.07
6937,2024-04-06,156754.46,9.59,8.48,17586.84,4989.77
5663,2023-12-19,311994.11,12.04,12.91,16910.73,9353.55
2142,2022-10-31,476968.08,-6.36,-6.73,13522.3,9720.06
8907,2023-02-01,227528.16,9.42,9.17,11479.65,18220.04
6590,2023-09-24,322009.64,9.1,8.11,8707.87,19747.23
9427,2024-06-19,406902.5,-1.31,-1.23,1302.09,16921.81
6258,2023-09-11,138735.68,-3.65,-3.43,3135.69,13195.66
5108,2024-03-13,183318.79,-2.13,-2.02,5873.24,17358.71
5396,2023-07-29,260709.92,14.79,12.13,503.24,1990.48
3302,2023-04-13,215109.55,1.5,1.61,5226.07,13889.78
6416,2024-06-29,141816.36,0.01,0.01,11684.51,7241.53
7948,2023-04-04,373526.47,2.65,2.84,7016.98,17740.46
8156,2024-07-01,369505.09,8.13,8.55,17773.52,152.25
9575,2024-06-28,319852.94,-0.11,-0.11,19115.26,15804.33
7983,2023-06-30,103738.6,6.81,8.12,2557.0,17962.38
1269,2023-06-03,227670.96,1.65,1.83,9972.25,12682.71
8853,2023-11-16,384598.25,-6.57,-5.87,9346.3,332.12
8234,2023-08-13,115188.82,14.18,13.01,2000.47,3679.22
3617,2024-03-06,478681.51,-8.78,-7.21,18589.68,2197.75
9900,2024-07-10,28980.31,16.44,16.28,9196.26,10642.03
2253,2024-04-08,272953.06,14.49,17.13,263.11,13378.12
1204,2023-03-07,261708.22,12.17,10.24,2379.83,8944.09
2474,2024-01-19,139342.75,-0.7,-0.59,16233.43,14981.87
6258,2023-03-20,147000.5,7.47,6.13,11775.5,8816.39
4430,2023-07-26,20285.75,13.28,15.67,19844.2,13275.34
1475,2024-04-28,381288.16,17.1,19.97,9339.72,13536.66
2363,2023-02-24,289066.86,13.05,14.2,17873.91,10517.78
8625,2023-09-14,224146.85,7.59,7.98,19038.33,12387.87
3120,2023-01-15,400601.61,16.47,19.01,6850.37,12568.58
8661,2023-09-24,223066.9,13.42,10.76,12151.16,18961.94
5396,2024-07-10,289032.38,15.63,17.45,1584.49,15796.1
5007,2023-05-27,62954.79,7.56,7.04,54.43,17299.13
7602,2023-11-14,284144.96,11.12,10.25,11590.92,12434.64
9733,2023-04-13,352153.96,14.08,12.41,6919.69,11809.21
3725,2024-04-17,252864.82,12.68,13.21,14922.56,880.84
5158,2023-02-22,414740.39,16.9,17.51,16081.94,3058.79
7747,2023-12-03,460740.94,2.37,2.08,1533.99,350.4
1138,2023-05-28,429902.43,4.98,4.23,4015.73,15464.11
8503,2023-03-20,27347.63,-1.64,-1.57,13505.08,7484.88
8313,2022-11-26,109927.41,-6.63,-6.63,14479.34,2679.85
5158,2024-03-17,277694.28,3.56,4.23,12304.36,12940.59
3877,2022-11-12,358637.25,12.68,14.1,12388.73,7606.61
1471,2024-03-21,252388.74,5.25,6.26,16721.32,1911.26
9698,2023-11-05,154931.68,13.15,13.46,2106.02,14731.05
9427,2023-02-04,486066.99,17.05,14.56,13455.96,15036.44
4007,2023-01-05,32218.97,8.82,10.53,10135.15,16209.0
4157,2023-05-30,27561.22,5.13,4.41,4096.64,173.37
5559,2024-03-31,87882.1,-2.78,-2.81,2593.47,16089.11
8002,2023-01-17,93867.69,-8.17,-9.8,16040.03,7927.2
6937,2024-01-20,58126.4,2.67,2.34,1149.74,3667.56
6590,2023-01-28,435844.77,12.53,10.75,17801.8,7856.12
7265,2023-01-10,97327.07,-5.58,-4.62,8742.56,3211.58
5968,2023-04-20,394764.32,5.15,5.1,13065.01,1762.89
1029,2023-04-18,127532.28,11.0,9.43,11031.77,16710.07
9525,2024-06-09,200818.3,8.26,7.67,1777.45,7900.46
7270,2024-08-24,126566.03,16.77,13.54,9218.85,8741.44
4115,2024-02-16,59298.33,-1.63,-1.5,8083.25,17200.15
4843,2023-11-21,471047.17,3.28,2.75,14331.25,8937.86
2150,2023-06-07,364704.21,12.03,11.86,16143.62,12322.18
5136,2023-08-03,451750.86,-7.85,-8.48,14992.5,762.48
9730,2023-01-13,177874.0,4.14,4.7,2911.88,13270.12
5646,2023-08-15,349416.02,4.04,3.39,1335.78,19886.56
8002,2022-11-20,454763.08,17.05,18.68,17196.82,15189.06
9015,2022-10-04,303437.32,-4.17,-4.75,6736.73,8490.37
5792,2024-05-20,305799.11,15.74,16.54,285.59,6682.2
9525,2024-07-18,203134.05,6.28,5.35,4558.38,3913.28
7046,2023-07-29,312808.07,3.69,2.98,2188.39,638.29
8582,2023-10-13,415140.66,12.05,10.07,18864.19,12589.79
3558,2024-05-25,437592.95,-0.08,-0.07,15777.83,10530.87
6258,2023-01-05,480484.59,18.88,20.11,10008.51,2315.7
8280,2024-09-13,146169.03,4.87,4.52,7208.13,7515.42
9656,2023-09-25,132711.26,-3.67,-3.95,17868.26,1024.38
8994,2024-07-25,224164.87,-1.94,-2.11,15495.67,13736.65
6263,2024-05-18,435176.66,-0.29,-0.34,9823.42,3074.19
7270,2023-04-24,327787.24,14.9,15.83,16138.17,18757.85
9751,2024-09-02,156135.6,14.98,16.64,4831.05,7447.47
8625,2023-02-13,439671.92,-7.15,-8.39,13680.87,3056.34
8994,2024-05-18,85135.49,-9.23,-10.91,5856.2,245.49
