transaction_id,portfolio_id,transaction_type,transaction_date,asset_type,asset_name,units,transaction_price,total_amount
7305546,4321,Sell,2024-05-25,Stock,Martin-Bolton Stock,18.34,89.0,1632.26
2129943,2823,Dividend,2022-10-10,Mutual Fund,Koch-Hernandez Bond,45.53,507.64,23112.85
8617734,9834,Sell,2023-09-30,Mutual Fund,Pearson Ltd Stock,61.23,191.72,11739.02
9312528,9575,Buy,2024-05-25,Mutual Fund,Davis Group Real Estate,45.91,544.34,24990.65
6059632,2157,Dividend,2023-04-12,Bond,Romero LLC Mutual Fund,86.88,730.91,63501.46
9363319,6661,Dividend,2024-02-03,Real Estate,Bailey-Rodriguez Bond,60.21,891.86,53698.89
4667945,5541,Dividend,2024-07-09,Stock,Higgins-Burton Stock,57.56,433.28,24939.6
2037503,2253,Buy,2023-08-05,Real Estate,Moore-Smith Mutual Fund,54.29,233.85,12695.72
5844694,3558,Sell,2023-04-20,Bond,Doyle-Robinson Mutual Fund,16.55,697.14,11537.67
4720174,7046,Dividend,2022-11-10,Stock,"Montoya, Lawson and Turner Bond",78.62,234.48,18434.82
5215022,2344,Buy,2024-05-28,Stock,West-Noble Real Estate,48.83,108.43,5294.64
8708359,8355,Dividend,2024-03-27,Mutual Fund,"Solis, Davis and Miller Real Estate",56.72,809.3,45903.5
6116568,8503,Buy,2023-03-31,Stock,"Cortez, Jones and Skinner Real Estate",39.09,424.34,16587.45
6488280,4700,Sell,2023-08-29,Mutual Fund,Jones-Rodriguez Bond,67.35,945.74,63695.59
1746767,7582,Sell,2023-03-21,Mutual Fund,Bass-Harper Real Estate,74.31,144.37,10728.13
8611976,2448,Sell,2023-01-08,Mutual Fund,"Dyer, Fitzgerald and Wiggins Mutual Fund",2.57,360.66,926.9
4635274,4355,Buy,2023-08-23,Real Estate,Hart PLC Real Estate,52.21,907.18,47363.87
7002603,7756,Buy,2024-01-18,Stock,Wheeler-Wagner Real Estate,12.63,732.73,9254.38
6531442,3617,Dividend,2022-11-06,Mutual Fund,"Lee, Cox and Stevens Real Estate",94.81,783.78,74310.18
6259770,3640,Dividend,2023-03-02,Bond,"Palmer, Sanders and Brewer Mutual Fund",42.71,659.13,28151.44
5538631,3302,Sell,2024-06-28,Bond,Williams-Marquez Mutual Fund,52.3,314.92,16470.32
1574143,2525,Buy,2023-10-14,Real Estate,Moore-Russell Stock,21.14,361.94,7651.41
4099609,9900,Sell,2023-06-06,Stock,Davidson-Smith Stock,38.79,356.58,13831.74
9406907,8503,Buy,2023-11-06,Stock,Flores-Campbell Bond,33.19,320.45,10635.74
8674219,4700,Sell,2024-09-07,Stock,Parrish-King Stock,53.09,902.87,47933.37
7404281,9983,Dividend,2023-01-08,Real Estate,"Cameron, Boyd and Hopkins Real Estate",31.76,175.67,5579.28
7264437,9900,Buy,2023-02-11,Mutual Fund,Oneal-Campos Real Estate,95.07,405.91,38589.86
4031603,1666,Sell,2022-12-13,Real Estate,"Medina, Fowler and Gutierrez Stock",3.19,197.48,629.96
4539634,7602,Sell,2023-02-25,Bond,Huynh-Pace Real Estate,21.38,400.15,8555.21
5527794,7234,Buy,2023-04-26,Real Estate,Lopez-Nelson Mutual Fund,80.35,630.15,50632.55
6105775,2823,Sell,2023-11-29,Stock,"Dalton, Martin and Barnes Mutual Fund",11.51,512.47,5898.53
4294691,9525,Sell,2024-03-25,Stock,"Long, Little and Williams Mutual Fund",47.35,390.84,18506.27
3032055,9353,Dividend,2023-07-03,Mutual Fund,Frye Group Mutual Fund,16.58,577.05,9567.49
6798476,8994,Dividend,2023-03-08,Bond,"Stevens, Harmon and Yang Mutual Fund",6.64,673.11,4469.45
7429263,8996,Buy,2023-02-11,Bond,Parker PLC Stock,78.17,957.63,74857.94
7040711,4771,Dividend,2023-04-23,Bond,Johnson-Edwards Real Estate,29.27,268.08,7846.7
3185075,9656,Buy,2023-05-10,Stock,"Jones, Garcia and Miller Bond",71.41,400.95,28631.84
5229665,8368,Buy,2023-07-15,Mutual Fund,Smith Group Bond,20.77,181.58,3771.42
8764401,2823,Dividend,2023-04-08,Real Estate,Conley Group Real Estate,61.82,827.35,51146.78
8319910,5158,Sell,2023-06-04,Stock,Garcia Inc Mutual Fund,73.88,590.56,43630.57
3616580,5158,Sell,2023-07-13,Bond,"Webb, Le and Martinez Bond",29.39,64.82,1905.06
5880799,4119,Buy,2024-03-26,Mutual Fund,Lawson PLC Mutual Fund,9.14,867.65,7930.32
2001279,1726,Sell,2023-12-25,Bond,"Black, Alvarez and Cameron Bond",33.38,670.28,22373.95
7598161,5136,Buy,2023-09-14,Real Estate,"Hernandez, Smith and Liu Mutual Fund",50.31,365.48,18387.3
3449903,2598,Sell,2024-08-01,Mutual Fund,Brown Group Real Estate,18.2,305.01,5551.18
9373005,6810,Dividend,2024-08-03,Mutual Fund,Owens Ltd Real Estate,74.53,63.07,4700.61
6791035,5318,Buy,2023-01-03,Real Estate,Sellers LLC Mutual Fund,3.57,542.57,1936.97
7866151,2363,Sell,2023-03-12,Stock,Hunt Inc Bond,36.08,966.3,34864.1
7493236,3109,Buy,2023-01-13,Mutual Fund,Harrison Ltd Bond,65.71,898.63,59048.98
6558031,4843,Dividend,2023-04-20,Stock,"Velez, Dougherty and Fox Mutual Fund",99.57,281.08,27987.14
1753056,1410,Buy,2023-03-13,Mutual Fund,"Hebert, Cordova and Blake Real Estate",99.58,88.06,8769.01
9624154,9031,Dividend,2024-08-20,Mutual Fund,Walker-Mendez Bond,24.15,994.06,24006.55
8030677,7858,Sell,2023-11-07,Real Estate,Harris Group Stock,88.29,844.72,74580.33
2826852,2696,Sell,2023-04-11,Stock,Griffin and Sons Mutual Fund,98.93,901.85,89220.02
8453066,2363,Buy,2023-07-09,Mutual Fund,"Horne, Prince and Torres Stock",64.5,191.23,12334.33
5102566,1845,Dividend,2023-12-28,Real Estate,"Perez, Walton and Schmidt Bond",56.98,179.25,10213.66
2449770,5631,Dividend,2023-09-18,Stock,Andrews-Cordova Real Estate,12.42,151.37,1880.02
9833880,8625,Buy,2023-01-31,Stock,Barajas Group Bond,43.81,587.78,25750.64
7582647,6263,Buy,2023-03-30,Stock,Brown Group Real Estate,72.81,283.19,20619.06
1925021,9566,Buy,2023-10-07,Bond,Duran Ltd Bond,73.42,556.11,40829.6
9248072,9525,Buy,2023-01-23,Real Estate,Herrera PLC Mutual Fund,71.03,505.39,35897.85
3314782,1138,Buy,2023-08-03,Real Estate,Avery LLC Stock,55.39,228.99,12683.76
9424591,9900,Dividend,2024-06-07,Mutual Fund,"Kemp, Mckee and Garcia Mutual Fund",80.8,394.83,31902.26
2036471,1763,Dividend,2024-09-12,Bond,"Hall, Franklin and Miller Stock",19.75,353.49,6981.43
6895089,1483,Buy,2023-05-19,Real Estate,Beck-Smith Mutual Fund,40.81,245.08,10001.71
5663881,2344,Buy,2022-09-29,Bond,"Clarke, Lewis and Myers Mutual Fund",3.77,161.79,609.95
6091502,8234,Dividend,2023-10-20,Stock,"Wright, Wright and Olson Real Estate",3.12,482.77,1506.24
9599865,7654,Sell,2024-03-13,Stock,"King, Bell and Molina Stock",68.06,222.78,15162.41
3941941,3617,Dividend,2023-06-08,Mutual Fund,Owens Ltd Real Estate,68.76,694.47,47751.76
6460044,1858,Dividend,2022-11-26,Mutual Fund,Anderson-Turner Mutual Fund,47.17,860.85,40606.29
5837109,1784,Dividend,2023-12-05,Bond,"Shaw, Brown and Adams Real Estate",69.97,837.41,58593.58
1559468,1845,Buy,2022-11-26,Stock,"Barker, Simpson and Mccall Mutual Fund",47.58,319.14,15184.68
3195842,5631,Buy,2023-03-17,Mutual Fund,Johnson-Brown Mutual Fund,83.19,772.66,64277.59
7550814,1410,Sell,2023-02-02,Real Estate,Brown-Perez Bond,29.26,882.14,25811.42
